plink_id,author,year,venue,title,section_name,context_left,match,context_right,tag
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,Coherence Analysis Technique,"precedes it . Since a given message in a conversation may reply to multiple prior messages, in",theory,", if Y is preceded by 10 messages in the discussion thread, the classifier outputs may predict",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,Results Discussion,"Following Walls et al . (1992), we used a kernel",theory,"to govern requirements and design, each of which was carefully tested . Each phase of the LAP-based",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,abstract,"science, which involves the development and evaluation of artifacts (models, methods, instantiations, and",theories,),
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Introduction,"validity across all the artifact types addressed by design scientists (e.g., models, methods, design",theories,"; see Gregor & Hevner, 2013) or provide a process for validating claims . Hence,",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Introduction,"that encapsulate blueprints for systems development (e.g., conceptual models or machine learning methods), and",theoretical,"design knowledge (e.g., design theories that prescribe design and action to attain specific goals, see",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Introduction,"e.g., conceptual models or machine learning methods), and theoretical design knowledge (e.g., design",theories,"that prescribe design and action to attain specific goals, see Gregor & Jones, 2007).Finally",
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Contribution,Reference Integration of systems development with rigorous,theory,and empirical evaluation Nunamaker et al . (1991); March and Smith (1995) Approaches,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Contribution,et al . (1991); March and Smith (1995) Approaches to evaluating artifacts and,theories,Hevner et al . (2004); Venable et al . (2016); Prat et,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Contribution,Gregor et al . (2020); Tuunanen et al . (2024) Alignment of kernel,theories,with artifacts Arazy et al . (2010); Gregor and Jones (2007); Kuechler,
0a8d8a34-ec0a-3b37-b526-0952453e3a23,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",2025,MISQ,VALIDITY IN DESIGN SCIENCE.,Contains no mention of validity or knowledge claims.,"validity of claims . They also do not apply to all design science artifacts (e.g., design",theories,"). To establish validity in design science, we first consider validity in science broadly, which",
